"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"NA19661_44.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_44.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_44.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_44.0.8.bam"	"ND"	"ND"	"0"	"3"
"NA19661_44.0.9.bam"	"ND"	"ND"	"0"	"3"
"NA19661_44.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_45.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_45.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_45.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_45.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_45.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_45.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_45.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_45.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_45.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_46.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_46.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_46.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_46.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_46.0.8.bam"	"ND"	"ND"	"0"	"3"
"NA19661_46.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_46.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_47.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_48.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_48.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_48.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_48.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_48.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_48.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_48.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_48.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_48.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_49.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_49.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_49.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_49.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_49.0.7.bam"	"ND"	"ND"	"0"	"2"
