"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"A2_n1000_l100_rep38_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep39_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep39_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep39_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep39_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep39_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep39_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep39_s0.1_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep39_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep39_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep3_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep3_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep3_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep3_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep3_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep40_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep40_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep40_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep40_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep40_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep40_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep41_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep41_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep41_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep41_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep41_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep41_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep41_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep41_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep41_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep42_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep42_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep43_s0.3_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep44_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep44_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep44_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
